Date,Instagram Ad Campaign,Instagram Ad Views,Instagram Ad Clicks,Instagram Ad Conversions,Cost per Instagram Ad  ,Instagram Click-Through Rate (Clicks / View),Instagram Conversion Rate (Conversions / Clicks),Instagram Cost per Click (Ad Cost / Clicks)  ,AdWords Ad Campaign,AdWords Ad Views,AdWords Ad Clicks,AdWords Ad Conversions,Cost per AdWords Ad  ,AdWords Click-Through Rate (Clicks / View),AdWords Conversion Rate (Conversions / Click),AdWords Cost per Click (Ad Cost / Clicks)  
1/12/2024,IG_Jan24,1553,56,14,€ 123.00,3.61%,25.36%,€ 2.19,AW_Jan24,5442,68,8,€ 177.00,1.25%,12.37%,€ 2.61
1/13/2024,IG_Jan24,1699,48,12,€ 88.00,2.84%,24.15%,€ 1.83,AW_Jan24,4283,83,7,€ 158.00,1.93%,8.63%,€ 1.91
1/14/2024,IG_Jan24,1803,42,11,€ 67.00,2.35%,27.08%,€ 1.58,AW_Jan24,4060,78,9,€ 91.00,1.92%,11.41%,€ 1.16
1/15/2024,IG_Jan24,1493,56,12,€ 59.00,3.74%,21.79%,€ 1.05,AW_Jan24,3957,36,3,€ 165.00,0.91%,7.76%,€ 4.55
1/16/2024,IG_Jan24,2493,31,7,€ 92.00,1.23%,23.26%,€ 3.01,AW_Jan24,3925,48,6,€ 96.00,1.21%,13.41%,€ 2.02
1/17/2024,IG_Jan24,2903,28,10,€ 102.00,0.97%,34.13%,€ 3.61,AW_Jan24,5147,52,5,€ 130.00,1.02%,8.82%,€ 2.49
1/18/2024,IG_Jan24,1916,40,13,€ 95.00,2.08%,32.53%,€ 2.38,AW_Jan24,5412,49,6,€ 167.00,0.90%,13.20%,€ 3.43
1/19/2024,IG_Jan24,2805,30,8,€ 67.00,1.06%,26.73%,€ 2.27,AW_Jan24,4370,68,4,€ 165.00,1.55%,6.47%,€ 2.42
1/20/2024,IG_Jan24,2478,50,13,€ 66.00,2.02%,26.00%,€ 1.31,AW_Jan24,4580,81,7,€ 119.00,1.77%,8.71%,€ 1.47
1/21/2024,IG_Jan24,2365,33,8,€ 97.00,1.39%,23.05%,€ 2.97,AW_Jan24,5259,49,3,€ 188.00,0.94%,7.02%,€ 3.81
1/22/2024,IG_Jan24,3106,46,12,€ 102.00,1.49%,26.47%,€ 2.20,AW_Jan24,4873,43,4,€ 148.00,0.88%,9.65%,€ 3.43
1/23/2024,IG_Jan24,1796,28,10,€ 85.00,1.55%,34.39%,€ 3.04,AW_Jan24,5432,63,7,€ 112.00,1.15%,11.38%,€ 1.79
1/24/2024,IG_Jan24,1932,43,12,€ 106.00,2.25%,26.91%,€ 2.45,AW_Jan24,3839,80,6,€ 151.00,2.08%,7.51%,€ 1.89
1/25/2024,IG_Jan24,1625,52,13,€ 50.00,3.21%,25.75%,€ 0.96,AW_Jan24,3714,50,7,€ 141.00,1.34%,15.05%,€ 2.82
1/26/2024,IG_Jan24,1845,24,6,€ 89.00,1.29%,24.20%,€ 3.73,AW_Jan24,5540,53,4,€ 177.00,0.96%,6.88%,€ 3.32
1/27/2024,IG_Jan24,2106,45,11,€ 111.00,2.16%,24.41%,€ 2.44,AW_Jan24,5506,77,6,€ 126.00,1.40%,7.59%,€ 1.64
1/28/2024,IG_Jan24,2690,55,13,€ 51.00,2.06%,23.61%,€ 0.93,AW_Jan24,4152,44,7,€ 171.00,1.06%,16.40%,€ 3.90
1/29/2024,IG_Jan24,1265,43,11,€ 43.00,3.43%,24.61%,€ 0.98,AW_Jan24,4769,78,8,€ 82.00,1.63%,10.14%,€ 1.05
1/30/2024,IG_Jan24,2781,28,11,€ 84.00,0.99%,38.18%,€ 3.06,AW_Jan24,5690,42,5,€ 95.00,0.74%,12.11%,€ 2.25
1/31/2024,IG_Jan24,2313,31,7,€ 82.00,1.33%,23.25%,€ 2.65,AW_Jan24,4499,50,4,€ 192.00,1.12%,6.98%,€ 3.80
2/1/2024,IG_Feb24,2318,25,9,€ 86.00,1.06%,36.26%,€ 3.49,AW_Feb24,4051,72,6,€ 113.00,1.78%,7.78%,€ 1.56
2/2/2024,IG_Feb24,3004,26,7,€ 94.00,0.88%,27.60%,€ 3.58,AW_Feb24,4788,76,6,€ 93.00,1.59%,7.62%,€ 1.21
2/3/2024,IG_Feb24,2345,25,10,€ 143.00,1.08%,39.69%,€ 5.63,AW_Feb24,4417,41,5,€ 112.00,0.93%,12.29%,€ 2.71
2/4/2024,IG_Feb24,1874,56,13,€ 48.00,2.99%,23.57%,€ 0.86,AW_Feb24,4182,49,5,€ 147.00,1.17%,11.15%,€ 3.02
2/5/2024,IG_Feb24,1359,41,11,€ 107.00,3.05%,27.25%,€ 2.59,AW_Feb24,4168,78,9,€ 98.00,1.87%,11.41%,€ 1.26
2/6/2024,IG_Feb24,2109,34,9,€ 110.00,1.59%,25.95%,€ 3.26,AW_Feb24,4426,69,7,€ 133.00,1.57%,10.77%,€ 1.92
2/7/2024,IG_Feb24,2799,31,10,€ 61.00,1.12%,32.74%,€ 1.94,AW_Feb24,4787,58,7,€ 171.00,1.22%,11.87%,€ 2.93
2/8/2024,IG_Feb24,1265,41,13,€ 86.00,3.25%,32.17%,€ 2.09,AW_Feb24,5475,48,4,€ 120.00,0.87%,9.18%,€ 2.51
2/9/2024,IG_Feb24,2566,41,13,€ 64.00,1.58%,32.35%,€ 1.58,AW_Feb24,4202,44,4,€ 100.00,1.05%,9.54%,€ 2.26
2/10/2024,IG_Feb24,2279,35,12,€ 92.00,1.55%,34.12%,€ 2.59,AW_Feb24,4614,43,5,€ 136.00,0.94%,11.95%,€ 3.14
2/11/2024,IG_Feb24,1781,29,9,€ 129.00,1.61%,30.45%,€ 4.49,AW_Feb24,4758,71,8,€ 132.00,1.48%,10.67%,€ 1.87
2/12/2024,IG_Feb24,2984,54,16,€ 121.00,1.82%,29.19%,€ 2.22,AW_Feb24,5119,74,5,€ 130.00,1.45%,6.35%,€ 1.75
2/13/2024,IG_Feb24,2692,40,10,€ 34.00,1.48%,25.01%,€ 0.86,AW_Feb24,4554,74,5,€ 113.00,1.62%,6.35%,€ 1.52
2/14/2024,IG_Feb24,2517,31,8,€ 53.00,1.21%,26.56%,€ 1.72,AW_Feb24,5202,80,8,€ 102.00,1.54%,10.01%,€ 1.27
2/15/2024,IG_Feb24,2116,42,10,€ 84.00,1.99%,24.75%,€ 1.99,AW_Feb24,4157,40,3,€ 104.00,0.97%,7.49%,€ 2.57
2/16/2024,IG_Feb24,3080,26,7,€ 53.00,0.83%,27.81%,€ 2.09,AW_Feb24,4336,63,8,€ 154.00,1.45%,12.97%,€ 2.46
2/17/2024,IG_Feb24,2839,31,10,€ 113.00,1.10%,32.86%,€ 3.62,AW_Feb24,3863,36,7,€ 172.00,0.94%,18.81%,€ 4.75
2/18/2024,IG_Feb24,3299,31,9,€ 115.00,0.92%,29.84%,€ 3.78,AW_Feb24,4947,74,7,€ 173.00,1.50%,9.05%,€ 2.34
2/19/2024,IG_Feb24,1531,48,11,€ 67.00,3.11%,22.10%,€ 1.41,AW_Feb24,5499,62,4,€ 155.00,1.12%,6.62%,€ 2.52
2/20/2024,IG_Feb24,2324,34,11,€ 46.00,1.47%,31.70%,€ 1.34,AW_Feb24,5347,67,7,€ 97.00,1.24%,11.01%,€ 1.46
2/21/2024,IG_Feb24,1063,32,8,€ 104.00,3.01%,26.25%,€ 3.24,AW_Feb24,4711,64,7,€ 197.00,1.35%,11.29%,€ 3.10
2/22/2024,IG_Feb24,3238,48,11,€ 119.00,1.48%,22.09%,€ 2.49,AW_Feb24,4702,61,8,€ 136.00,1.29%,13.24%,€ 2.24
2/23/2024,IG_Feb24,1662,28,7,€ 118.00,1.68%,23.57%,€ 4.22,AW_Feb24,5254,74,5,€ 97.00,1.42%,6.34%,€ 1.31
2/24/2024,IG_Feb24,1110,51,14,€ 67.00,4.55%,27.92%,€ 1.33,AW_Feb24,4892,71,9,€ 144.00,1.46%,12.01%,€ 2.01
2/25/2024,IG_Feb24,3122,44,11,€ 70.00,1.42%,24.51%,€ 1.59,AW_Feb24,4226,52,4,€ 152.00,1.22%,6.94%,€ 2.94
2/26/2024,IG_Feb24,1647,35,12,€ 132.00,2.13%,34.29%,€ 3.76,AW_Feb24,5466,66,7,€ 131.00,1.20%,11.11%,€ 2.00
2/27/2024,IG_Feb24,1658,55,15,€ 112.00,3.33%,27.23%,€ 2.02,AW_Feb24,5083,47,7,€ 103.00,0.93%,15.56%,€ 2.17
2/28/2024,IG_Feb24,3145,54,12,€ 69.00,1.73%,21.84%,€ 1.27,AW_Feb24,3952,32,3,€ 152.00,0.81%,8.11%,€ 4.73
2/29/2024,IG_Mar24,3149,46,12,€ 93.00,1.47%,26.47%,€ 2.01,AW_Mar24,4888,68,4,€ 151.00,1.40%,6.46%,€ 2.21
3/1/2024,IG_Mar24,1608,57,15,€ 92.00,3.55%,27.01%,€ 1.61,AW_Mar24,3780,51,6,€ 149.00,1.36%,10.85%,€ 2.91
3/2/2024,IG_Mar24,1742,28,8,€ 118.00,1.62%,27.07%,€ 4.17,AW_Mar24,3890,42,6,€ 141.00,1.08%,14.52%,€ 3.36
3/3/2024,IG_Mar24,2504,40,11,€ 59.00,1.58%,27.59%,€ 1.51,AW_Mar24,4399,50,4,€ 169.00,1.14%,6.99%,€ 3.35
3/4/2024,IG_Mar24,2943,43,13,€ 40.00,1.45%,29.39%,€ 0.93,AW_Mar24,4296,56,8,€ 131.00,1.31%,13.91%,€ 2.34
3/5/2024,IG_Mar24,2962,51,14,€ 92.00,1.73%,27.83%,€ 1.80,AW_Mar24,5520,71,6,€ 110.00,1.29%,7.81%,€ 1.55
3/6/2024,IG_Mar24,1560,44,13,€ 99.00,2.81%,29.11%,€ 2.26,AW_Mar24,4462,33,5,€ 126.00,0.74%,14.05%,€ 3.79
3/7/2024,IG_Mar24,1232,24,10,€ 142.00,1.97%,40.58%,€ 5.84,AW_Mar24,4507,70,9,€ 99.00,1.56%,12.12%,€ 1.40
3/8/2024,IG_Mar24,1406,29,9,€ 107.00,2.04%,30.45%,€ 3.71,AW_Mar24,3894,33,7,€ 185.00,0.85%,20.06%,€ 5.56
3/9/2024,IG_Mar24,1819,22,5,€ 96.00,1.22%,24.50%,€ 4.32,AW_Mar24,4507,62,5,€ 109.00,1.37%,8.23%,€ 1.76
3/10/2024,IG_Mar24,1097,59,15,€ 43.00,5.37%,25.09%,€ 0.73,AW_Mar24,5154,87,5,€ 179.00,1.69%,6.15%,€ 2.06
3/11/2024,IG_Mar24,1314,43,10,€ 105.00,3.29%,22.31%,€ 2.44,AW_Mar24,4024,65,7,€ 99.00,1.60%,11.20%,€ 1.54
3/12/2024,IG_Mar24,1320,61,17,€ 118.00,4.63%,28.18%,€ 1.93,AW_Mar24,4401,60,4,€ 133.00,1.36%,6.68%,€ 2.23
3/13/2024,IG_Mar24,1783,54,15,€ 69.00,3.03%,27.39%,€ 1.28,AW_Mar24,5493,44,5,€ 140.00,0.80%,11.85%,€ 3.19
3/14/2024,IG_Mar24,1200,39,9,€ 116.00,3.23%,22.58%,€ 3.00,AW_Mar24,5031,66,8,€ 106.00,1.31%,12.60%,€ 1.61
3/15/2024,IG_Mar24,2030,33,8,€ 131.00,1.63%,23.02%,€ 3.96,AW_Mar24,5515,58,4,€ 80.00,1.05%,6.73%,€ 1.39
3/16/2024,IG_Mar24,1890,32,9,€ 95.00,1.71%,29.29%,€ 2.93,AW_Mar24,5498,54,4,€ 135.00,0.99%,6.84%,€ 2.49
3/17/2024,IG_Mar24,2772,59,17,€ 76.00,2.13%,28.46%,€ 1.29,AW_Mar24,4667,70,7,€ 96.00,1.49%,10.75%,€ 1.38
3/18/2024,IG_Mar24,1721,28,10,€ 115.00,1.60%,34.49%,€ 4.17,AW_Mar24,4237,45,4,€ 162.00,1.06%,9.46%,€ 3.61
3/19/2024,IG_Mar24,2049,37,12,€ 54.00,1.80%,33.55%,€ 1.47,AW_Mar24,5089,34,4,€ 97.00,0.67%,10.85%,€ 2.85
3/20/2024,IG_Mar24,3051,48,11,€ 100.00,1.57%,22.08%,€ 2.08,AW_Mar24,4239,41,6,€ 112.00,0.97%,14.76%,€ 2.74
3/21/2024,IG_Mar24,1086,35,11,€ 73.00,3.25%,31.33%,€ 2.06,AW_Mar24,5077,66,4,€ 166.00,1.29%,6.52%,€ 2.52
3/22/2024,IG_Mar24,2217,36,11,€ 101.00,1.62%,31.11%,€ 2.81,AW_Mar24,5169,55,8,€ 149.00,1.07%,14.03%,€ 2.68
3/23/2024,IG_Mar24,2320,54,12,€ 103.00,2.31%,21.87%,€ 1.91,AW_Mar24,5249,78,9,€ 99.00,1.48%,11.42%,€ 1.27
3/24/2024,IG_Mar24,2279,41,10,€ 75.00,1.80%,24.88%,€ 1.83,AW_Mar24,5598,41,3,€ 159.00,0.73%,7.45%,€ 3.89
3/25/2024,IG_Mar24,3169,40,13,€ 107.00,1.25%,32.66%,€ 2.70,AW_Mar24,3894,68,5,€ 182.00,1.74%,7.95%,€ 2.68
3/26/2024,IG_Mar24,1292,36,9,€ 140.00,2.82%,25.49%,€ 3.84,AW_Mar24,4192,74,7,€ 109.00,1.78%,9.03%,€ 1.47
3/27/2024,IG_Mar24,2390,39,10,€ 110.00,1.62%,25.15%,€ 2.83,AW_Mar24,3959,62,5,€ 83.00,1.56%,8.23%,€ 1.34
3/28/2024,IG_Mar24,1845,25,6,€ 71.00,1.34%,24.03%,€ 2.88,AW_Mar24,5200,40,5,€ 159.00,0.77%,12.53%,€ 3.98
3/29/2024,IG_Mar24,2202,41,11,€ 115.00,1.88%,27.25%,€ 2.79,AW_Mar24,3826,67,5,€ 100.00,1.74%,8.01%,€ 1.51
3/30/2024,IG_Mar24,2895,42,11,€ 48.00,1.44%,27.19%,€ 1.16,AW_Mar24,5082,79,9,€ 148.00,1.55%,11.35%,€ 1.88
3/31/2024,IG_Apr24,2628,30,7,€ 99.00,1.13%,23.38%,€ 3.35,AW_Apr24,4372,59,5,€ 140.00,1.35%,8.38%,€ 2.36
4/1/2024,IG_Apr24,1910,39,10,€ 59.00,2.05%,25.10%,€ 1.51,AW_Apr24,4846,73,9,€ 113.00,1.50%,11.89%,€ 1.56
4/2/2024,IG_Apr24,2700,34,12,€ 43.00,1.26%,34.66%,€ 1.26,AW_Apr24,3867,56,7,€ 171.00,1.46%,12.10%,€ 3.03
4/3/2024,IG_Apr24,1558,52,14,€ 65.00,3.34%,27.69%,€ 1.25,AW_Apr24,4501,82,5,€ 117.00,1.82%,6.22%,€ 1.43
4/4/2024,IG_Apr24,1149,53,13,€ 126.00,4.61%,23.77%,€ 2.38,AW_Apr24,4690,62,5,€ 157.00,1.32%,8.24%,€ 2.54
4/5/2024,IG_Apr24,2703,35,9,€ 102.00,1.28%,25.76%,€ 2.94,AW_Apr24,4692,76,6,€ 182.00,1.62%,7.64%,€ 2.40
4/6/2024,IG_Apr24,2970,44,10,€ 108.00,1.49%,22.25%,€ 2.43,AW_Apr24,3867,35,5,€ 114.00,0.91%,13.52%,€ 3.23
4/7/2024,IG_Apr24,1768,26,6,€ 58.00,1.48%,23.83%,€ 2.23,AW_Apr24,4604,61,4,€ 122.00,1.32%,6.64%,€ 2.00
4/8/2024,IG_Apr24,2888,40,9,€ 60.00,1.39%,22.49%,€ 1.50,AW_Apr24,3945,65,7,€ 185.00,1.65%,11.15%,€ 2.85
4/9/2024,IG_Apr24,1312,57,16,€ 92.00,4.32%,28.83%,€ 1.62,AW_Apr24,3900,83,9,€ 90.00,2.13%,11.03%,€ 1.08
4/10/2024,IG_Apr24,1128,36,10,€ 70.00,3.16%,28.43%,€ 1.96,AW_Apr24,4618,35,5,€ 110.00,0.76%,13.52%,€ 3.14
4/11/2024,IG_Apr24,1924,22,6,€ 74.00,1.16%,28.97%,€ 3.30,AW_Apr24,4828,44,3,€ 173.00,0.91%,7.27%,€ 3.92
4/12/2024,IG_Apr24,1786,43,13,€ 69.00,2.39%,29.37%,€ 1.61,AW_Apr24,5266,57,5,€ 109.00,1.09%,8.49%,€ 1.90
4/13/2024,IG_Apr24,2135,57,12,€ 114.00,2.68%,21.75%,€ 2.00,AW_Apr24,5708,76,7,€ 160.00,1.34%,8.93%,€ 2.10
4/14/2024,IG_Apr24,1642,39,13,€ 80.00,2.38%,32.79%,€ 2.05,AW_Apr24,3986,48,7,€ 152.00,1.20%,15.44%,€ 3.18
4/15/2024,IG_Apr24,2252,36,10,€ 114.00,1.59%,28.36%,€ 3.18,AW_Apr24,5091,62,8,€ 150.00,1.22%,13.08%,€ 2.42
4/16/2024,IG_Apr24,1132,58,16,€ 78.00,5.10%,26.93%,€ 1.35,AW_Apr24,4629,45,7,€ 135.00,0.97%,16.12%,€ 3.01
4/17/2024,IG_Apr24,1163,36,10,€ 66.00,3.10%,28.31%,€ 1.84,AW_Apr24,3812,34,4,€ 92.00,0.90%,10.84%,€ 2.69
4/18/2024,IG_Apr24,3209,33,12,€ 108.00,1.03%,35.15%,€ 3.26,AW_Apr24,4171,51,8,€ 171.00,1.23%,14.76%,€ 3.34
4/19/2024,IG_Apr24,3269,43,12,€ 89.00,1.31%,26.99%,€ 2.07,AW_Apr24,5488,85,8,€ 154.00,1.55%,9.72%,€ 1.81
4/20/2024,IG_Apr24,3217,62,16,€ 120.00,1.94%,26.42%,€ 1.92,AW_Apr24,4850,59,4,€ 154.00,1.22%,6.69%,€ 2.61
4/21/2024,IG_Apr24,2186,45,10,€ 126.00,2.06%,22.22%,€ 2.80,AW_Apr24,5494,67,8,€ 173.00,1.22%,12.47%,€ 2.58
4/22/2024,IG_Apr24,2414,51,14,€ 111.00,2.10%,27.91%,€ 2.20,AW_Apr24,4570,77,9,€ 132.00,1.68%,11.51%,€ 1.72
4/23/2024,IG_Apr24,1744,19,8,€ 90.00,1.09%,41.05%,€ 4.75,AW_Apr24,5096,60,7,€ 157.00,1.18%,11.68%,€ 2.62
4/24/2024,IG_Apr24,2910,39,11,€ 48.00,1.33%,27.75%,€ 1.24,AW_Apr24,4057,53,6,€ 108.00,1.31%,10.64%,€ 2.03
4/25/2024,IG_Apr24,2788,59,15,€ 111.00,2.11%,25.09%,€ 1.88,AW_Apr24,3896,84,5,€ 170.00,2.15%,6.19%,€ 2.03
4/26/2024,IG_Apr24,1525,53,16,€ 58.00,3.48%,29.43%,€ 1.09,AW_Apr24,4572,37,3,€ 167.00,0.81%,7.69%,€ 4.50
4/27/2024,IG_Apr24,3249,36,11,€ 55.00,1.09%,31.27%,€ 1.56,AW_Apr24,5734,67,8,€ 155.00,1.17%,12.48%,€ 2.32
4/28/2024,IG_Apr24,1624,31,7,€ 114.00,1.91%,23.23%,€ 3.67,AW_Apr24,4642,57,7,€ 154.00,1.24%,11.97%,€ 2.68
4/29/2024,IG_Apr24,1541,21,6,€ 107.00,1.36%,29.52%,€ 5.10,AW_Apr24,5508,83,8,€ 187.00,1.51%,9.82%,€ 2.26
4/30/2024,IG_May24,1168,52,11,€ 42.00,4.43%,21.93%,€ 0.81,AW_May24,4405,70,5,€ 171.00,1.59%,6.42%,€ 2.44
5/1/2024,IG_May24,2301,54,15,€ 64.00,2.36%,27.35%,€ 1.18,AW_May24,4750,67,5,€ 111.00,1.42%,7.97%,€ 1.65
5/2/2024,IG_May24,1332,35,8,€ 121.00,2.61%,22.88%,€ 3.48,AW_May24,4360,37,5,€ 123.00,0.85%,13.06%,€ 3.29
5/3/2024,IG_May24,2771,48,12,€ 103.00,1.74%,24.14%,€ 2.13,AW_May24,4349,58,4,€ 150.00,1.33%,6.73%,€ 2.59
5/4/2024,IG_May24,2564,53,16,€ 62.00,2.07%,29.42%,€ 1.18,AW_May24,4434,68,4,€ 153.00,1.54%,6.46%,€ 2.23
5/5/2024,IG_May24,1736,25,7,€ 69.00,1.46%,27.87%,€ 2.73,AW_May24,4465,72,9,€ 126.00,1.62%,11.93%,€ 1.74
5/6/2024,IG_May24,2923,25,7,€ 99.00,0.86%,27.97%,€ 3.93,AW_May24,4158,60,5,€ 153.00,1.44%,8.33%,€ 2.56
5/7/2024,IG_May24,1587,58,17,€ 82.00,3.62%,28.70%,€ 1.43,AW_May24,5325,41,5,€ 115.00,0.77%,12.35%,€ 2.81
5/8/2024,IG_May24,1960,41,9,€ 130.00,2.09%,22.44%,€ 3.18,AW_May24,5078,40,5,€ 94.00,0.79%,12.47%,€ 2.33
5/9/2024,IG_May24,3320,47,13,€ 112.00,1.42%,28.46%,€ 2.37,AW_May24,5086,49,7,€ 120.00,0.97%,15.13%,€ 2.43
5/10/2024,IG_May24,1909,34,10,€ 53.00,1.76%,28.93%,€ 1.58,AW_May24,4724,52,5,€ 134.00,1.09%,8.88%,€ 2.60
5/11/2024,IG_May24,1702,42,13,€ 60.00,2.49%,31.79%,€ 1.42,AW_May24,4146,78,7,€ 154.00,1.88%,8.84%,€ 1.98
5/12/2024,IG_May24,2281,33,9,€ 56.00,1.46%,25.99%,€ 1.66,AW_May24,5327,83,8,€ 139.00,1.55%,9.83%,€ 1.68
5/13/2024,IG_May24,1467,54,12,€ 79.00,3.67%,21.86%,€ 1.46,AW_May24,4117,38,6,€ 182.00,0.93%,15.48%,€ 4.77
5/14/2024,IG_May24,3043,44,12,€ 96.00,1.46%,26.77%,€ 2.16,AW_May24,5687,41,7,€ 75.00,0.72%,17.21%,€ 1.83
5/15/2024,IG_May24,2530,50,15,€ 76.00,1.97%,30.04%,€ 1.52,AW_May24,4657,72,5,€ 127.00,1.54%,6.40%,€ 1.77
5/16/2024,IG_May24,2483,59,17,€ 46.00,2.39%,28.43%,€ 0.77,AW_May24,4438,54,6,€ 134.00,1.23%,10.51%,€ 2.47
5/17/2024,IG_May24,2648,23,9,€ 129.00,0.88%,37.17%,€ 5.53,AW_May24,5640,36,4,€ 171.00,0.64%,10.52%,€ 4.71
5/18/2024,IG_May24,2948,59,13,€ 49.00,2.00%,21.69%,€ 0.83,AW_May24,5458,54,5,€ 148.00,0.99%,8.70%,€ 2.74
5/19/2024,IG_May24,1368,36,10,€ 114.00,2.66%,28.24%,€ 3.14,AW_May24,3814,55,5,€ 83.00,1.44%,8.63%,€ 1.51
5/20/2024,IG_May24,2684,42,10,€ 86.00,1.55%,24.82%,€ 2.07,AW_May24,5526,45,6,€ 104.00,0.81%,13.90%,€ 2.30
5/21/2024,IG_May24,2615,29,7,€ 55.00,1.12%,23.41%,€ 1.86,AW_May24,5531,83,8,€ 118.00,1.50%,9.82%,€ 1.42
5/22/2024,IG_May24,1511,26,7,€ 44.00,1.69%,27.81%,€ 1.72,AW_May24,4585,55,8,€ 166.00,1.21%,14.04%,€ 3.01
5/23/2024,IG_May24,2158,23,6,€ 85.00,1.07%,24.33%,€ 3.68,AW_May24,4970,41,6,€ 101.00,0.83%,14.72%,€ 2.46
5/24/2024,IG_May24,3085,48,13,€ 43.00,1.55%,26.28%,€ 0.91,AW_May24,4768,73,6,€ 135.00,1.52%,7.76%,€ 1.85
5/25/2024,IG_May24,2806,46,14,€ 50.00,1.64%,30.85%,€ 1.08,AW_May24,4140,77,5,€ 170.00,1.87%,6.29%,€ 2.20
5/26/2024,IG_May24,1239,37,12,€ 110.00,2.98%,33.55%,€ 2.99,AW_May24,4692,88,5,€ 75.00,1.87%,6.14%,€ 0.85
5/27/2024,IG_May24,2244,36,9,€ 99.00,1.60%,25.59%,€ 2.76,AW_May24,4842,63,4,€ 112.00,1.30%,6.59%,€ 1.78
5/28/2024,IG_May24,2767,37,8,€ 43.00,1.32%,22.74%,€ 1.17,AW_May24,4845,60,7,€ 119.00,1.23%,11.70%,€ 2.00
5/29/2024,IG_May24,2630,41,11,€ 84.00,1.57%,27.28%,€ 2.03,AW_May24,5544,76,8,€ 142.00,1.37%,10.26%,€ 1.86
5/30/2024,IG_May24,1831,23,9,€ 94.00,1.25%,37.47%,€ 4.12,AW_May24,4628,48,4,€ 113.00,1.03%,9.19%,€ 2.37
5/31/2024,IG_Jun24,1586,40,13,€ 79.00,2.50%,32.59%,€ 2.00,AW_Jun24,4003,58,6,€ 84.00,1.45%,10.19%,€ 1.46
6/1/2024,IG_Jun24,1670,35,11,€ 107.00,2.11%,31.33%,€ 3.02,AW_Jun24,5223,45,5,€ 178.00,0.86%,11.67%,€ 3.95
6/2/2024,IG_Jun24,2686,61,16,€ 73.00,2.27%,26.57%,€ 1.19,AW_Jun24,4953,56,7,€ 179.00,1.13%,12.14%,€ 3.19
6/3/2024,IG_Jun24,1380,36,9,€ 99.00,2.64%,25.49%,€ 2.72,AW_Jun24,5298,73,5,€ 167.00,1.38%,6.37%,€ 2.28
6/4/2024,IG_Jun24,2075,48,13,€ 84.00,2.30%,26.28%,€ 1.75,AW_Jun24,4716,48,7,€ 133.00,1.03%,15.33%,€ 2.75
6/5/2024,IG_Jun24,2421,22,7,€ 112.00,0.92%,33.45%,€ 5.01,AW_Jun24,5353,71,5,€ 163.00,1.32%,6.42%,€ 2.31
6/6/2024,IG_Jun24,2433,46,14,€ 46.00,1.87%,30.96%,€ 1.01,AW_Jun24,4883,70,5,€ 114.00,1.43%,7.87%,€ 1.64
6/7/2024,IG_Jun24,2944,56,15,€ 107.00,1.90%,27.16%,€ 1.92,AW_Jun24,5457,60,5,€ 141.00,1.10%,8.33%,€ 2.35
6/8/2024,IG_Jun24,1288,35,8,€ 76.00,2.69%,22.89%,€ 2.19,AW_Jun24,3887,56,7,€ 124.00,1.45%,12.12%,€ 2.20
